  ENTRY        TAWCPI           TAWEX          USCPI
 1970:05  26.090000000000 40.900000000000 30.742647000000
 1970:06  25.920000000000 41.000000000000 30.902073000000
 1970:07  26.340000000000 40.850000000000 31.008357000000
 1970:08  27.110000000000 43.600000000000 31.061499000000
 1970:09  27.800000000000 43.400000000000 31.220925000000
 1970:10  27.380000000000 43.000000000000 31.380351000000
 1970:11  27.040000000000 45.650000000000 31.486635000000
 1970:12  26.780000000000 50.800000000000 31.646061000000
 1971:01  27.270000000000 40.650000000000 31.672632000000
 1971:02  27.180000000000 40.950000000000 31.725774000000
 1971:03  27.030000000000 41.000000000000 31.832058000000
 1971:04  26.970000000000 40.400000000000 31.938342000000
 1971:05  27.010000000000 40.900000000000 32.097768000000
 1971:06  27.010000000000 41.000000000000 32.283765000000
 1971:07  27.020000000000 40.850000000000 32.363478000000
 1971:08  27.480000000000 43.600000000000 32.443191000000
 1971:09  27.470000000000 43.400000000000 32.469762000000
 1971:10  27.660000000000 43.000000000000 32.522904000000
 1971:11  27.580000000000 45.650000000000 32.576046000000
 1971:12  27.510000000000 50.800000000000 32.708901000000
 1972:01  27.110000000000 45.300000000000 32.735472000000
 1972:02  27.680000000000 45.000000000000 32.894898000000
 1972:03  27.630000000000 43.000000000000 32.948040000000
 1972:04  27.660000000000 42.000000000000 33.027753000000
 1972:05  27.790000000000 41.450000000000 33.134037000000
 1972:06  28.080000000000 39.600000000000 33.213750000000
 1972:07  28.330000000000 39.200000000000 33.346605000000
 1972:08  29.330000000000 40.050000000000 33.399747000000
 1972:09  29.220000000000 40.850000000000 33.532602000000
 1972:10  28.100000000000 43.900000000000 33.638886000000
 1972:11  27.750000000000 41.300000000000 33.718599000000
 1972:12  28.230000000000 40.500000000000 33.824883000000
 1973:01  27.490000000000 41.050000000000 33.931167000000
 1973:02  27.900000000000 38.250000000000 34.170306000000
 1973:03  27.810000000000 38.400000000000 34.489158000000
 1973:04  28.220000000000 37.400000000000 34.728297000000
 1973:05  28.580000000000 38.500000000000 34.940865000000
 1973:06  28.880000000000 36.850000000000 35.180004000000
 1973:07  29.700000000000 37.250000000000 35.259717000000
 1973:08  30.350000000000 38.300000000000 35.897421000000
 1973:09  31.640000000000 37.800000000000 36.003705000000
 1973:10  34.120000000000 38.350000000000 36.295986000000
 1973:11  34.820000000000 40.900000000000 36.561696000000
 1973:12  35.010000000000 40.350000000000 36.800835000000
 1974:01  38.460000000000 41.400000000000 37.119687000000
 1974:02  44.280000000000 42.700000000000 37.597965000000
 1974:03  44.870000000000 39.100000000000 38.023101000000
 1974:04  44.580000000000 38.900000000000 38.235669000000
 1974:05  44.220000000000 37.700000000000 38.660805000000
 1974:06  44.080000000000 37.200000000000 39.032799000000
 1974:07  44.670000000000 37.000000000000 39.325080000000
 1974:08  45.140000000000 37.050000000000 39.829929000000
 1974:09  46.610000000000 37.900000000000 40.308207000000
 1974:10  46.520000000000 38.650000000000 40.653630000000
 1974:11  47.200000000000 39.000000000000 40.999053000000
 1974:12  46.900000000000 36.250000000000 41.291334000000
 1975:01  46.490000000000 38.300000000000 41.477331000000
 1975:02  46.530000000000 37.550000000000 41.769612000000
 1975:03  46.150000000000 37.300000000000 41.929038000000
 1975:04  46.460000000000 39.500000000000 42.141606000000
 1975:05  46.490000000000 39.900000000000 42.327603000000
 1975:06  47.530000000000 39.500000000000 42.673026000000
 1975:07  47.530000000000 38.700000000000 43.124733000000
 1975:08  47.700000000000 39.750000000000 43.257588000000
 1975:09  47.650000000000 40.850000000000 43.470156000000
 1975:10  48.260000000000 39.950000000000 43.735866000000
 1975:11  47.870000000000 40.950000000000 44.001576000000
 1975:12  47.020000000000 39.700000000000 44.187573000000
 1976:01  47.840000000000 39.700000000000 44.293857000000
 1976:02  48.010000000000 40.800000000000 44.400141000000
 1976:03  48.390000000000 39.450000000000 44.506425000000
 1976:04  48.510000000000 39.750000000000 44.692422000000
 1976:05  48.260000000000 39.850000000000 44.958132000000
 1976:06  48.060000000000 39.950000000000 45.197271000000
 1976:07  48.280000000000 39.450000000000 45.462981000000
 1976:08  48.610000000000 41.200000000000 45.675549000000
 1976:09  48.590000000000 39.850000000000 45.861546000000
 1976:10  48.310000000000 40.000000000000 46.047543000000
 1976:11  48.200000000000 38.650000000000 46.180398000000
 1976:12  48.720000000000 38.700000000000 46.313253000000
 1977:01  49.370000000000 39.200000000000 46.578963000000
 1977:02  50.170000000000 38.500000000000 47.057241000000
 1977:03  49.970000000000 37.950000000000 47.349522000000
 1977:04  50.340000000000 37.850000000000 47.721516000000
 1977:05  50.580000000000 39.300000000000 47.987226000000
 1977:06  52.170000000000 37.750000000000 48.306078000000
 1977:07  52.210000000000 39.000000000000 48.518646000000
 1977:08  54.530000000000 40.000000000000 48.704643000000
 1977:09  53.760000000000 39.500000000000 48.890640000000
 1977:10  53.180000000000 40.800000000000 49.023495000000
 1977:11  52.290000000000 39.050000000000 49.262634000000
 1977:12  52.010000000000 38.650000000000 49.448631000000
 1978:01  52.910000000000 40.700000000000 49.740912000000
 1978:02  53.320000000000 39.000000000000 50.059764000000
 1978:03  53.370000000000 37.950000000000 50.431758000000
 1978:04  54.350000000000 37.850000000000 50.883465000000
