 ENTRY        THICPI           THIEX          USCPI
 1967:10  23.402680000000 20.750000000000 25.755000000000
 1967:11  23.402680000000 21.200000000000 25.831500000000
 1967:12  23.193727500000 20.850000000000 25.908000000000
 1968:01  22.984775000000 20.350000000000 26.010000000000
 1968:02  23.193727500000 20.370000000000 26.086500000000
 1968:03  24.854350000000 20.360000000000 26.214000000000
 1968:04  24.634400000000 20.800000000000 26.290500000000
 1968:05  25.294250000000 20.950000000000 26.367000000000
 1968:06  25.294250000000 21.000000000000 26.520000000000
 1968:07  25.074300000000 20.980000000000 26.647500000000
 1968:08  24.854350000000 20.850000000000 26.724000000000
 1968:09  24.854350000000 20.750000000000 26.800500000000
 1968:10  25.074300000000 20.750000000000 26.953500000000
 1968:11  25.074300000000 21.200000000000 27.055500000000
 1968:12  24.854350000000 21.400000000000 27.132000000000
 1969:01  25.074300000000 21.050000000000 27.208500000000
 1969:02  25.074300000000 20.950000000000 27.310500000000
 1969:03  25.074300000000 20.750000000000 27.540000000000
 1969:04  25.294250000000 20.750000000000 27.718500000000
 1969:05  25.514200000000 20.850000000000 27.795000000000
 1969:06  25.514200000000 20.950000000000 27.973500000000
 1969:07  25.514200000000 20.950000000000 28.101000000000
 1969:08  25.514200000000 21.150000000000 28.228500000000
 1969:09  25.734150000000 21.750000000000 28.356000000000
 1969:10  25.734150000000 21.300000000000 28.458000000000
 1969:11  25.734150000000 21.000000000000 28.611000000000
 1969:12  25.514200000000 20.750000000000 28.789500000000
 1970:01  25.294250000000 20.850000000000 28.891500000000
 1970:02  25.734150000000 20.900000000000 29.044500000000
 1970:03  25.514200000000 20.750000000000 29.197500000000
 1970:04  25.514200000000 20.800000000000 29.376000000000
 1970:05  25.668165000000 20.850000000000 29.503500000000
 1970:06  25.712155000000 20.850000000000 29.656500000000
 1970:07  25.668165000000 20.550000000000 29.758500000000
 1970:08  25.646170000000 20.350000000000 29.809500000000
 1970:09  25.712155000000 20.950000000000 29.962500000000
 1970:10  25.954100000000 20.900000000000 30.115500000000
 1970:11  25.734150000000 20.850000000000 30.217500000000
 1970:12  25.778140000000 20.750000000000 30.370500000000
 1971:01  25.888115000000 20.700000000000 30.396000000000
 1971:02  25.778140000000 20.400000000000 30.447000000000
 1971:03  25.778140000000 20.500000000000 30.549000000000
 1971:04  25.822130000000 21.300000000000 30.651000000000
 1971:05  25.866120000000 21.100000000000 30.804000000000
 1971:06  26.152055000000 21.050000000000 30.982500000000
 1971:07  26.196045000000 20.600000000000 31.059000000000
 1971:08  26.328015000000 21.550000000000 31.135500000000
 1971:09  26.723925000000 20.600000000000 31.161000000000
 1971:10  26.745920000000 20.500000000000 31.212000000000
 1971:11  26.591955000000 20.700000000000 31.263000000000
 1971:12  26.328015000000 21.300000000000 31.390500000000
 1972:01  26.100000000000 20.800000000000 31.416000000000
 1972:02  26.200000000000 20.700000000000 31.569000000000
 1972:03  26.400000000000 20.200000000000 31.620000000000
 1972:04  26.500000000000 20.950000000000 31.696500000000
 1972:05  26.700000000000 20.950000000000 31.798500000000
 1972:06  26.800000000000 22.150000000000 31.875000000000
 1972:07  26.900000000000 21.200000000000 32.002500000000
 1972:08  27.200000000000 20.850000000000 32.053500000000
 1972:09  27.400000000000 20.700000000000 32.181000000000
 1972:10  27.800000000000 20.700000000000 32.283000000000
 1972:11  28.000000000000 20.650000000000 32.359500000000
 1972:12  28.200000000000 20.750000000000 32.461500000000
 1973:01  28.600000000000 20.700000000000 32.563500000000
 1973:02  29.100000000000 20.000000000000 32.793000000000
 1973:03  29.900000000000 20.050000000000 33.099000000000
 1973:04  30.000000000000 20.100000000000 33.328500000000
 1973:05  30.400000000000 21.400000000000 33.532500000000
