 ENTRY         MNRCPI            MNREX         USCPI
 1981:02  33.300000000000 39.400000000000 67.116000000000
 1981:03  33.000000000000 36.500000000000 67.600500000000
 1981:04  33.400000000000 39.700000000000 68.034000000000
 1981:05  33.700000000000 40.350000000000 68.595000000000
 1981:06  33.800000000000 35.000000000000 69.181500000000
 1981:07  33.900000000000 38.000000000000 69.972000000000
 1981:08  34.200000000000 39.000000000000 70.507500000000
 1981:09  34.400000000000 40.000000000000 71.221500000000
 1981:10  34.400000000000 39.500000000000 71.374500000000
 1981:11  34.700000000000 37.500000000000 71.578500000000
 1981:12  34.800000000000 37.600000000000 71.782500000000
 1982:01  34.100000000000 38.500000000000 72.037500000000
 1982:02  34.100000000000 39.200000000000 72.267000000000
 1982:03  34.200000000000 38.800000000000 72.190500000000
 1982:04  34.500000000000 34.000000000000 72.496500000000
 1982:05  35.400000000000 30.000000000000 73.210500000000
 1982:06  35.800000000000 27.000000000000 74.103000000000
 1982:07  37.100000000000 30.000000000000 74.511000000000
 1982:08  37.200000000000 30.000000000000 74.664000000000
 1982:09  36.600000000000 31.000000000000 74.791500000000
 1982:10  36.000000000000 34.350000000000 74.995500000000
 1982:11  36.100000000000 33.000000000000 74.868000000000
 1982:12  36.400000000000 33.000000000000 74.562000000000
 1983:01  36.300000000000 32.900000000000 74.740500000000
 1983:02  36.100000000000 34.000000000000 74.766000000000
 1983:03  35.300000000000 30.000000000000 74.817000000000
 1983:04  35.800000000000 31.000000000000 75.352500000000
 1983:05  37.100000000000 33.000000000000 75.760500000000
 1983:06  38.400000000000 35.000000000000 76.015500000000
 1983:07  40.100000000000 36.000000000000 76.321500000000
 1983:08  39.500000000000 35.000000000000 76.576500000000
 1983:09  39.200000000000 39.000000000000 76.959000000000
 1983:10  38.400000000000 37.000000000000 77.163000000000
 1983:11  38.400000000000 35.000000000000 77.290500000000
 1983:12  38.000000000000 38.000000000000 77.392500000000
 1984:01  37.900000000000 37.000000000000 77.826000000000
 1984:02  37.500000000000 38.250000000000 78.183000000000
 1984:03  38.200000000000 38.500000000000 78.361500000000
 1984:04  38.900000000000 39.000000000000 78.744000000000
 1984:05  39.900000000000 39.000000000000 78.973500000000
 1984:06  40.000000000000 39.050000000000 79.228500000000
 1984:07  39.900000000000 39.100000000000 79.483500000000
 1984:08  39.900000000000 39.150000000000 79.815000000000
 1984:09  39.700000000000 39.000000000000 80.197500000000
 1984:10  40.200000000000 39.500000000000 80.401500000000
 1984:11  41.000000000000 39.100000000000 80.401500000000
 1984:12  41.200000000000 44.000000000000 80.452500000000
 1985:01  40.800000000000 44.450000000000 80.605500000000
 1985:02  40.500000000000 48.200000000000 80.937000000000
 1985:03  40.400000000000 43.650000000000 81.294000000000
 1985:04  40.900000000000 43.500000000000 81.625500000000
 1985:05  42.600000000000 43.000000000000 81.931500000000
 1985:06  43.000000000000 42.350000000000 82.186500000000
 1985:07  42.900000000000 38.500000000000 82.314000000000
 1985:08  43.100000000000 38.850000000000 82.492500000000
 1985:09  42.800000000000 36.500000000000 82.747500000000
 1985:10  43.300000000000 36.200000000000 83.002500000000
 1985:11  43.500000000000 34.750000000000 83.283000000000
 1985:12  42.900000000000 34.600000000000 83.487000000000
 1986:01  42.200000000000 33.850000000000 83.742000000000
 1986:02  42.500000000000 36.800000000000 83.512500000000
 1986:03  42.800000000000 35.400000000000 83.130000000000
 1986:04  43.300000000000 38.000000000000 82.951500000000
 1986:05  44.000000000000 39.700000000000 83.206500000000
 1986:06  45.100000000000 37.700000000000 83.614500000000
 1986:07  46.600000000000 36.400000000000 83.640000000000
 1986:08  47.200000000000 35.150000000000 83.793000000000
 1986:09  47.600000000000 35.450000000000 84.201000000000
 1986:10  48.900000000000 36.100000000000 84.277500000000
 1986:11  50.900000000000 35.000000000000 84.354000000000
 1986:12  52.200000000000 35.000000000000 84.430500000000
 1987:01  53.500000000000 38.750000000000 84.940500000000
 1987:02  54.200000000000 39.650000000000 85.272000000000
 1987:03  54.600000000000 40.600000000000 85.654500000000
