 ENTRY         LNKCPI            LNKEX           USCPI
 1961:01  10.313800000000  6.710000000000 22.771500000000
 1961:02  10.291560000000  6.780000000000 22.771500000000
 1961:03  10.235960000000  6.820000000000 22.771500000000
 1961:04  10.291560000000  6.690000000000 22.771500000000
 1961:05  10.302680000000  6.470000000000 22.771500000000
 1961:06  10.352720000000  6.370000000000 22.797000000000
 1961:07  10.352720000000  6.470000000000 22.899000000000
 1961:08  10.441680000000  6.410000000000 22.873500000000
 1961:09  10.441680000000  6.370000000000 22.924500000000
 1961:10  10.491720000000  8.100000000000 22.924500000000
 1961:11  10.491720000000  8.060000000000 22.924500000000
 1961:12  10.519520000000  8.110000000000 22.924500000000
 1962:01  10.452800000000  8.370000000000 22.924500000000
 1962:02  10.491720000000  8.420000000000 22.975500000000
 1962:03  10.519520000000  8.510000000000 23.026500000000
 1962:04  10.530640000000  8.350000000000 23.077500000000
 1962:05  10.552880000000  9.920000000000 23.077500000000
 1962:06  10.558440000000  9.910000000000 23.077500000000
 1962:07  10.541760000000  9.250000000000 23.128500000000
 1962:08  10.519520000000  9.750000000000 23.128500000000
 1962:09  10.519520000000 10.850000000000 23.256000000000
 1962:10  10.552880000000  9.670000000000 23.230500000000
 1962:11  10.619600000000 10.000000000000 23.230500000000
 1962:12  10.541760000000  9.600000000000 23.205000000000
 1963:01  10.608480000000  9.480000000000 23.230500000000
 1963:02  10.680760000000  9.150000000000 23.256000000000
 1963:03  10.697440000000  9.100000000000 23.281500000000
 1963:04  10.808640000000  9.000000000000 23.281500000000
 1963:05  10.808640000000  9.150000000000 23.281500000000
 1963:06  10.819760000000  9.000000000000 23.383500000000
 1963:07  10.825320000000  8.750000000000 23.485500000000
 1963:08  10.697440000000  9.000000000000 23.485500000000
 1963:09  10.697440000000  9.750000000000 23.485500000000
 1963:10  10.819760000000  9.850000000000 23.511000000000
 1963:11  10.875360000000 11.050000000000 23.536500000000
 1963:12  10.925400000000 11.250000000000 23.587500000000
