 ENTRY         MALCPI            MALEX           USCPI
 1966:09  38.829672000000 3.1600000000000 25.015500000000
 1966:10  38.829672000000 3.1850000000000 25.117500000000
 1966:11  39.217968720000 3.1250000000000 25.117500000000
 1966:12  39.217968720000 3.1300000000000 25.143000000000
 1967:01  39.994562160000 3.1250000000000 25.143000000000
 1967:02  39.994562160000 3.1200000000000 25.168500000000
 1967:03  39.606265440000 3.1150000000000 25.219500000000
 1967:04  39.217968720000 3.1200000000000 25.270500000000
 1967:05  39.217968720000 3.1180000000000 25.347000000000
 1967:06  40.771155600000 3.1180000000000 25.423500000000
 1967:07  40.771155600000 3.1600000000000 25.551000000000
 1967:08  40.771155600000 3.1400000000000 25.627500000000
 1967:09  41.159452320000 3.1300000000000 25.678500000000
 1967:10  41.159452320000 3.1250000000000 25.755000000000
 1967:11  41.547749040000 3.1200000000000 25.831500000000
 1967:12  41.547749040000 3.1150000000000 25.908000000000
 1968:01  41.547749040000 3.1150000000000 26.010000000000
 1968:02  41.547749040000 3.0900000000000 26.086500000000
 1968:03  42.324342480000 3.1000000000000 26.214000000000
 1968:04  41.547749040000 3.1200000000000 26.290500000000
 1968:05  41.159452320000 3.1000000000000 26.367000000000
 1968:06  40.771155600000 3.0900000000000 26.520000000000
 1968:07  40.771155600000 3.0800000000000 26.647500000000
 1968:08  40.382858880000 3.0700000000000 26.724000000000
 1968:09  40.382858880000 3.0800000000000 26.800500000000
 1968:10  39.994562160000 3.0900000000000 26.953500000000
 1968:11  40.382858880000 3.1100000000000 27.055500000000
 1968:12  40.382858880000 3.0800000000000 27.132000000000
 1969:01  40.382858880000 3.0900000000000 27.208500000000
 1969:02  40.382858880000 3.0700000000000 27.310500000000
 1969:03  40.382858880000 3.0800000000000 27.540000000000
 1969:04  39.994562160000 3.0600000000000 27.718500000000
 1969:05  40.382858880000 3.1000000000000 27.795000000000
 1969:06  40.382858880000 3.0800000000000 27.973500000000
 1969:07  40.382858880000 3.0900000000000 28.101000000000
 1969:08  40.382858880000 3.1000000000000 28.228500000000
 1969:09  40.771155600000 3.0800000000000 28.356000000000
 1969:10  40.382858880000 3.0800000000000 28.458000000000
 1969:11  40.771155600000 3.0700000000000 28.611000000000
 1969:12  40.771155600000 3.1100000000000 28.789500000000
 1970:01  41.159452320000 3.1000000000000 28.891500000000
 1970:02  41.159452320000 3.0900000000000 29.044500000000
 1970:03  40.771155600000 3.0900000000000 29.197500000000
 1970:04  40.965303960000 3.0900000000000 29.376000000000
 1970:05  40.771155600000 3.0900000000000 29.503500000000
 1970:06  40.693496256000 3.1000000000000 29.656500000000
 1970:07  40.809985272000 3.1200000000000 29.758500000000
 1970:08  40.809985272000 3.1100000000000 29.809500000000
 1970:09  40.809985272000 3.1000000000000 29.962500000000
 1970:10  40.771155600000 3.0900000000000 30.115500000000
 1970:11  41.431260024000 3.1000000000000 30.217500000000
 1970:12  41.314771008000 3.1000000000000 30.370500000000
 1971:01  42.169023792000 2.8600000000000 30.396000000000
 1971:02  42.207853464000 2.8500000000000 30.447000000000
 1971:03  41.858386416000 2.8400000000000 30.549000000000
 1971:04  41.470089696000 2.8400000000000 30.651000000000
 1971:05  41.237111664000 2.8250000000000 30.804000000000
