 ENTRY         INDCPI          INDEX           USCPI
 1966:07  16.700000000000 11.750000000000 24.837000000000
 1966:08  16.900400000000 11.750000000000 24.964500000000
 1966:09  16.967200000000 11.500000000000 25.015500000000
 1966:10  17.100800000000 10.850000000000 25.117500000000
 1966:11  17.234400000000  9.900000000000 25.117500000000
 1966:12  17.501600000000 10.200000000000 25.143000000000
 1967:01  17.501600000000 11.200000000000 25.143000000000
 1967:02  17.635200000000 11.300000000000 25.168500000000
 1967:03  17.768800000000 11.600000000000 25.219500000000
 1967:04  17.969200000000 11.550000000000 25.270500000000
 1967:05  18.303200000000 11.250000000000 25.347000000000
 1967:06  18.770800000000 11.500000000000 25.423500000000
 1967:07  18.971200000000 10.550000000000 25.551000000000
 1967:08  19.104800000000  9.900000000000 25.627500000000
 1967:09  19.038000000000 10.150000000000 25.678500000000
